timestamp,longitude,latitude,stepcount
1710846142.8379152,10,20,
1710846142.8379152,,,1000
1710846143.394593,,,1001
1710846143.9217622,10,20,
1710846143.9217622,,,1002
1710846144.480837,,,1003
1710846145.0113213,10,20,
1710846145.0113213,,,1004
1710846145.5714548,,,1005
1710846146.100884,10,20,
1710846146.100884,,,1006
1710846146.6583636,,,1007
1710846147.1875358,10,20,
1710846147.1875358,,,1008
1710846147.7463987,,,1009
1710846148.2752142,10,20,
1710846148.2752142,,,1010
1710846148.8370924,,,1011
1710846149.3684027,10,20,
1710846149.3684027,,,1013
1710846149.9275975,,,1014
1710846150.4580085,10,20,
1710846150.4580085,,,1015
1710846151.0189862,,,1016
1710846151.5495436,10,20,
1710846151.5495436,,,1017
1710846152.1075375,,,1018
1710846152.636459,10,20,
1710846152.636459,,,1019
1710846153.1970112,,,1020
1710846153.7260287,10,20,
1710846153.7260287,,,1021
1710846154.283138,,,1022
1710846154.811796,10,20,
1710846154.811796,,,1023
1710846155.3682685,,,1025
1710846155.899056,10,20,
1710846155.899056,,,1026
1710846156.460608,,,1027
1710846156.989374,10,20,
1710846156.989374,,,1028
1710846157.547544,,,1029
1710846158.0782602,10,20,
1710846158.0782602,,,1030
1710846158.6375935,,,1031
1710846159.1675937,10,20,
1710846159.1675937,,,1032
1710846159.7260013,,,1033
1710846160.2539692,10,20,
1710846160.2539692,,,1034
1710846160.8094468,,,1035
1710846161.3388093,10,20,
1710846161.3388093,,,1037
1710846161.8989413,,,1038
1710846162.429733,10,20,
1710846162.429733,,,1039
1710846162.9868622,,,1040
1710846163.516128,10,20,
1710846163.516128,,,1041
1710846164.0764606,,,1042
1710846164.6067286,10,20,
1710846164.6067286,,,1043
1710846165.1635692,,,1044
1710846165.6942713,10,20,
1710846165.6942713,,,1045
1710846166.2522454,,,1046
1710846166.7800565,10,20,
1710846166.7800565,,,1047
1710846167.337456,,,1048
1710846167.866318,10,20,
1710846167.866318,,,1050
1710846168.4234684,,,1051
1710846168.9522092,10,20,
1710846168.9522092,,,1052
1710846169.5090773,,,1053
